ID,PRODUCTO,UNIDAD,PRESENTACION,PRECIO UNITARIO,PESO,
80130,Pan sin gluten con hierbas y avena,pz,1,125,,
80133,Huevo natural docena ,pz,1,48,,
80134,Cono de huevo,pz,1,120,,
80135,Queso fresco,pz,1,25,,
90136,Quesillo ,kg,1,120,,
90137,Queso panela,kg,1,120,500 grs,0
90138,Queso botanero con chapulin y chipotle,kg,1,140,500 grs,0
90139,Queso botanero con epazote (unstock),kg,1,0,,
90140,Requeson 250grs,kg,1,80,250 grs,0
90141,Requeson 500grs,kg,1,70,500 grs,0
90142,Requeson 1kg,kg,1,60,,
90143,Crema 250g,kg,1,80,250 grs,0
90144,Crema 500g,kg,1,70,500 grs,0
90145,Crema 1kg,kg,1,60,,
90146,Mantequilla 250g,kg,1,200,250 grs,0
100147,Mantequilla 500g,kg,1,160,500 grs,0
100148,Mantequilla 1kg,kg,1,150,,
100149,Nata de leche de vaca ,kg,1,320,250 grs,0
100150,Yogurt natural S/A,bote,1,90,960 ml,
100151,Carne de conejo (entero),kg,1,150,,
81404,Codorniz (paq 3 piezas),paq,1,170,,
100152,Yogurt Bove natural litro,litro,1,65,,
100153,Bove entera litro,litro,1,35,,
100154,Bove deslactosada ,litro,1,36,,
100155,Bove ligth litro,litro,1,38,,
100156,Gud Almendra litro S/A,litro,1,52,,
100157,Gud Avena litro S/A,litro,1,48,,
100158,Gud Coco litro S/A,litro,1,50,,
100159,Gud Quinoa litro,litro,1,45,,
100160,"Mermelada YUBAN 210grs (Piña,Jengibre y cardamomo )",pz,1,75,210 grs,
100161,Mermelada YUBAN 210grs (Mango - maracuya),pz,1,75,210 grs,
100162,Mermelada YUBAN 210grs (Fresa - chia),pz,1,75,210 grs,
100163,Mermelada YUBAN 210grs (Fresa - jamaica),pz,1,75,210 grs,
100164,Mermelada YUBAN 210grs (Guanabana),pz,1,75,210 grs,
100165,Mermelada YUBAN 210grs (Zapote negro con Naranja),pz,1,75,210 grs,
100166,Mermelada YUBAN 210grs (manzana - nuez),pz,1,75,210 grs,
100167,Mermelada Tipico cultivando amor : Membrillo,pz,1,75,300 grs,
110168,Mermelada Tipico cultivando amor : zarzamora,pz,1,75,300 grs,
110169,Mermelada Tipico cultivando amor : manzana,pz,1,75,300 grs,
110170,Mermelada Tipico cultivando amor : durazno,pz,1,75,300 grs,
110171,Mermelada ECOSTA : jamaica,pz,1,75,,
110172,Mermelada ECOSTA : camote - piña,pz,1,75,,
110173,Mermelada ECOSTA : piña - maracuya,pz,1,75,,
110174,Mermelada LA PERDICION : Fresa,pz,1,80,300 grs,
110175,Muesli : piña ,kg,1,330,500 grs,
110176,Muesli : fresa,kg,1,330,500 grs,
110177,Muesli : mango,kg,1,330,500 grs,
110178,Muesli : mix,kg,1,330,500 grs,
110179,Mango deshidratado natural o chile 30grs,pz,1,30,30 grs,
110180,Mango deshidratado natural o chile 100grs ,pz,1,100,100 grs,
110181,Fresa deshidratada natural,pz,1,45,30 grs,
110182,Nuez en mitades ,pz,1,45,100 grs,
110183,Nuez garapiñada,pz,1,55,100 grs,
110184,Chicharo con sal,pz,1,35,100 grs,
120185,Maiz con sal o maiz con chile ,pz,1,35,100 grs,
120186,Cacahuate horneado,pz,1,25,100 grs,
120187,Cacahuate con sal y limon,pz,1,25,100 grs,
120188,Garbanzos con chile,pz,1,25,100 grs,
120189,Semillas de calabaza tostadas al comal (unstock),pz,1,25,,
120190,Semilla de girasol,pz,1,35,200 grs,
120191,Semilla de chia criolla,pz,1,70,,
120192,Granola ,pz,1,60,250 grs,
120193,Mazapan artesanal fibonacci,pz,1,15,,
120194,Alegria natural,barra,1,7,,
130195,Churritos de amaranto,pz,1,19.5,90 grs,
130196,Jengibre organico cristalizado ,pz,1,75,55 grs,
130197,Cigarros artesanales paquete de 5 pzs (unstock),paq,1,45,5 pz,
,Sopa Instantanea,pz,1,65,90 grs,
130198,Premio para perro,pz,1,62.5,100 grs,
130199,Aciento de semillas ,pz,1,65,120 grs,
130200,Salsa Ajvar de pimiento y berenjena 190gr,pz,1,65,190 grs,
130201,Salsa Ajvar de pimiento y berenjena 285gr,pz,1,110,285 grs,
130202,Berenjena ahumada untable,pz,1,145,190 grs,
130203,Sal de 3 chiles endemicos,pz,1,35,,
140204,Crema de cacahuate Fibonacci ,bote,1,115,330 grs,
140205,Escabeche Djindjirindji,pz,1,45,190 grs,
140206,Mantequilla de almendras,ml,235,176,235 ml,
140207,Tahini (pasta de ajonjoli),ml,235,98,235 ml,
140208,Salsa macha de chile tabiche ,grs,115,85,115 grs,
140209,Salsa de cacahuate o chapulin ,grs,115,85,115 grs,
140210,Sal de gusanito de maguey (unstock),grs,25,35,25 grs,
140211,Mayonesa de limon / ajo o tocino,grs,500,45,500 grs,
140212,Salsa macha de chile de arbol sabor : cacahuate,ml,150,80,150 ml,
140213,Salsa macha de chile de arbol sabor : ajo,ml,150,80,150 ml,
140214,Salsa macha de chile de arbol sabor : arandanos picoso,ml,150,80,150 ml,
140215,Salsa macha de chile de arbol sabor : chapulin,ml,150,80,150 ml,
150216,Chiles en escabeche 500grs,kg,0.5,75,0.5 kg,
150217,Chiles en escabeche 1kg,kg,1,140,,
150218,Salsa botanera Tilanchii ,ml,150,45,150 ml,
150219,Duraznos en almibar 1kg,kg,1,140,,
150220,Duraznos en almibar 500grs,kg,0.5,70,0.5 kg,
1109,Sal de gusanito,grs,150,70,150 grs,
1201,Aceite de coco sin olor ,litro,1,200,,
150223,Aceite de coco con olor,litro,1,240,,
150224,Aceite de pepita de uva,ml,375,115,375 ml,
150225,Aceite de corozo con olor y sabor,litro,1,240,,
150226,"Aceite de oliva extra virgen macerados con : romeo, ajo Aguacte, chaya ",ml,150,75,150 ml,
150227,Ghee 250ml,ml,1,150,250 ml,
150228,Ghee 125ml,pz,1,85,125 ml,
150229,Cerveza artesanal capucha : Brow,pz,1,50,,
150230,Cerveza artesanal capucha : Session IPA,pz,1,50,,
150231,Cerveza artesanal capucha : poleo/Pericon,pz,1,50,,
150232,Cerveza artesanal capucha : Jengibre Panel,pz,1,50,,
150233,Cerveza artesanal capucha : Blonde,pz,1,50,,
150234,Cerveza artesanal traspatio : Porter inglesa ,pz,1,50,,
150235,Cerveza artesanal la Juquileña Negra del alma (Stout),pz,1,50,,
150236,Barra de chocolate artesanal 60% cacao sabor Rosita de cacao,barra,1,75,50 grs,
150237,Barra de chocolate artesanal 60% cacao sabor Pinole,barra,1,75,50 grs,
160238,Barra de chocolate artesanal 60% cacao sabor Nueve lunas,barra,1,75,50 grs,
160239,Barra de chocolate artesanal 60% cacao sabor Almendras,barra,1,75,50 grs,
160240,Barra de chocolate artesanal 60% cacao sabor Mezcal,barra,1,75,50 grs,
160241,Barra de chocolate artesanal 60% cacao sabor Cardamomo,barra,1,75,50 grs,
160242,Barra de chocolate artesanal 80% cacao sabor Nibs de cacao ,barra,1,85,50 grs,
160243,Barra de chocolate artesanal 80% cacao sabor Sal de mar,barra,1,85,50 grs,
160244,Barra de cacao jaguar,barra,1,90,50 grs,
160245,Tablillas para preparar chocolate Dulce,pz,1,70,250 grs,
160246,Tablillas para preparar chocolate Semiamargo,pz,1,80,250 grs,
